name,lon,lat,east_disp,north_disp,up_disp,east_sig,north_sig,up_sig,
"P418",236.5922,47.2366,-5.0872,-4.2467,0,0.054218,0.062479,1,
"P419",236.6335,47.4093,-4.9733,-3.8087,0,0.073839,0.097584,1,
"P420",237.134,46.589,-3.9272,-1.7213,0,0.089013,0.084929,1,
"P421",237.571,46.532,-4.1583,0.33333,0,0.054087,0.052997,1,
"P423",237.059,47.288,-1.0749,-3.3826,0,0.085617,0.10237,1,
"P424",237.1253,47.8231,-5.3788,-0.076602,0,0.10889,0.082249,1,
"P425",237.1546,46.4526,-3.2976,-0.66779,0,0.065933,0.046778,1,
"P426",237.4854,47.8027,-5.6335,-0.41897,0,0.094227,0.071117,1,
"P427",237.6594,45.4302,0,0,0,1,1,1,
"P429",238.1226,45.6761,0,0,0,1,1,1,
"P430",236.564,47.004,-2.6293,-1.8344,0,0.11759,0.1046,1,
"P431",238.0116,46.5721,0,0,0,1,1,1,
"P432",238.317,46.623,-1.7677,-0.57007,0,0.13236,0.091013,1,
"P434",238.9244,47.7402,-4.1527,-0.45331,0,0.096113,0.10194,1,
"P435",236.4967,48.0595,-6.9625,-0.24307,0,0.093906,0.089403,1,
"P436",236.8657,48.0453,-5.3231,-4.6994,0,0.077253,0.070723,1,
"P437",237.5409,48.0018,-5.6968,-2.4138,0,0.061633,0.042074,1,
"P438",237.3298,48.4191,-5.9766,-4.1578,0,0.088382,0.046335,1,
"P439",237.0907,48.7082,-3.2357,-2.8266,0,0.092393,0.066753,1,
"P440",237.5067,48.8562,-2.9054,-2.4921,0,0.069978,0.098472,1,
"P441",237.8604,48.916,0,0,0,1,1,1,
"P442",238.3845,48.2605,0,0,0,1,1,1,
"P443",238.7144,48.5096,0,0,0,1,1,1,
"P446",237.1073,46.1156,0,0,0,1,1,1,
"P672",238.4931,41.7116,0,0,0,1,1,1,
"P673",238.387,41.5858,0,0,0,1,1,1,
"P674",238.51,41.6163,0,0,0,1,1,1,
"P732",236.1087,43.3925,0,0,0,1,1,1,
"P733",235.5867,42.442,0,0,0,1,1,1,
"P734",235.7068,42.0766,0,0,0,1,1,1,
"P735",236.769,42.6916,0,0,0,1,1,1,
"P736",238.1199,42.5798,0,0,0,1,1,1,
"P737",237.3904,42.7271,0,0,0,1,1,1,
"P784",237.5796,41.8308,0,0,0,1,1,1,
"P786",236.0199,41.8456,0,0,0,1,1,1,
"P793",236.4269,40.4787,0,0,0,1,1,1,
"P794",237.0363,39.8458,0,0,0,1,1,1,
"P815",235.4428,47.9372,0,0,0,1,1,1,
"P816",235.443,47.9372,0,0,0,1,1,1,
"PABH",235.7954,47.2128,0,0,0,1,1,1,
"PCOL",237.4292,47.1721,-1.8025,-3.5699,0,0.28557,0.16499,1,
"PCS2",236.6722,44.919,0,0,0,1,1,1,
"PCSO",236.6722,44.919,0,0,0,1,1,1,
"PDXA",237.3908,45.5968,0,0,0,1,1,1,
"PDXB",237.4188,45.5665,0,0,0,1,1,1,
"PER1",237.7921,47.9816,-3.4201,-3.7444,0,0.15802,0.12665,1,
"PFLD",237.7179,47.8985,-5.0448,-2.1359,0,0.061406,0.045562,1,
"PGC5",236.5491,48.6485,-1.8683,-4.1406,0,0.16437,0.13408,1,
"PKWD",238.3231,46.5997,0,0,0,1,1,1,
"PMAR",238.3133,43.9907,0,0,0,1,1,1,
"PNCL",236.5848,48.1014,-6.1435,-3.5911,0,0.056118,0.065075,1,
"POUL",237.3331,47.7547,0,0,0,1,1,1,
"PRDY",237.3909,47.3914,-5.2631,-1.6271,0,0.046078,0.03732,1,
"PSEA",237.6801,47.4514,-5.3484,-1.0077,0,0.077973,0.052877,1,
"PSPT",237.5105,42.7548,0,0,0,1,1,1,
"PTAA",236.5057,48.1168,0,0,0,1,1,1,
"PTAL",235.1391,49.2563,0,0,0,1,1,1,
"PTRF",235.5871,48.5441,0,0,0,1,1,1,
"PTSG",235.7446,41.7826,0,0,0,1,1,1,
"PTWA",236.9139,49.0041,0,0,0,1,1,1,
"PUPU",237.9919,47.4991,-5.1481,0.13991,0,0.25728,0.22348,1,
"QUAD",234.6692,50.1325,0,0,0,1,1,1,
"REED",235.8923,43.701,0,0,0,1,1,1,
"RPT1",237.6253,47.3875,0,0,0,1,1,1,
"RSBG",236.6407,43.235,0,0,0,1,1,1,
"RYMD",236.2697,46.6841,-5.8345,-1.1317,0,0.059869,0.042064,1,
"SACH",236.5793,48.5666,0,0,0,1,1,1,
"SAMM",237.9669,47.5398,-5.1856,-0.82455,0,0.065852,0.069051,1,
"SATS",236.4592,46.9657,0,0,0,1,1,1,
"SC02",236.9923,48.5462,-4.4388,-3.8049,0,0.11498,0.071548,1,
"SC03",236.2955,47.8184,-8.2514,-3.059,0,0.094783,0.10484,1,
"SC04",236.296,48.923,0,0,0,1,1,1,
"SEAS",236.0776,45.9842,0,0,0,1,1,1,
"SEAT",237.6905,47.654,-5.7053,-1.3223,0,0.051055,0.044539,1,
"SEDK",237.7615,48.5042,-4.2248,-2.6993,0,0.071239,0.071694,1,
"SEDR",237.7762,48.5216,-3.573,-3.0346,0,0.080108,0.064757,1,
"SEQM",236.8865,48.0914,0,0,0,1,1,1,
"SKMA",238.1163,45.694,0,0,0,1,1,1,
"SMAI",237.655,47.5235,-5.1324,-1.1513,0,0.063398,0.043868,1,
"SNOQ",238.6123,47.3915,0,0,0,1,1,1,
"SQIM",236.8982,48.0825,-5.455,-3.9852,0,0.076761,0.077226,1,
"SSHO",237.6849,47.6822,-4.2806,-0.73084,0,0.071928,0.05787,1,
"STAY",237.1792,44.8307,0,0,0,1,1,1,
"STHM",237.2663,44.3963,0,0,0,1,1,1,
"SUHS",236.6712,42.9869,0,0,0,1,1,1,
"SUTB",238.1794,39.2058,0,0,0,1,1,1,
"TACO",237.5286,47.2288,-3.4926,-1.6073,0,0.048795,0.043403,1,
"TFNO",234.0922,49.1541,0,0,0,1,1,1,
"THUN",237.7121,47.106,-3.9461,-0.3349,0,0.034996,0.027018,1,
"TILL",236.1693,45.4551,0,0,0,1,1,1,
